Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
55,120,129,28,59,0,31,63,128,67,131,131,131,131,131,131,131,40
99,55,98,96,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,64,125,91,31,40,37,69,53,1,131,131,131,131,131,131,131,24
99,19,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,11
19,120,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,29
23,75,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,13
19,120,45,44,70,31,67,131,131,131,131,131,131,131,131,131,131,29
55,120,41,129,28,70,59,128,131,131,131,131,131,131,131,131,131,21
99,85,8,94,131,131,131,131,131,131,131,131,131,131,131,131,131,2
41,27,16,73,114,112,131,131,131,131,131,131,131,131,131,131,131,39
99,19,55,120,45,44,70,59,74,6,62,67,89,131,131,131,131,11
41,26,45,14,66,131,131,131,131,131,131,131,131,131,131,131,131,6
19,41,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
2,49,44,13,37,104,30,119,131,131,131,131,131,131,131,131,131,30
68,80,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
99,55,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
120,41,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
130,99,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
120,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
49,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131,30
120,49,59,0,51,131,131,131,131,131,131,131,131,131,131,131,131,33
25,19,41,26,45,44,109,62,81,115,90,97,92,22,18,61,67,10
17,9,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
25,19,41,26,44,109,62,81,115,90,97,92,22,18,61,67,131,10
130,41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,19
120,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131,28
44,18,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131,23
120,108,18,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
130,99,106,17,131,131,131,131,131,131,131,131,131,131,131,131,131,14
130,99,41,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
99,98,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
130,99,106,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
120,41,5,108,70,13,37,35,100,53,78,131,131,131,131,131,131,25
27,16,73,114,112,83,131,131,131,131,131,131,131,131,131,131,131,39
120,14,108,18,131,131,131,131,131,131,131,131,131,131,131,131,131,18
120,49,59,79,51,131,131,131,131,131,131,131,131,131,131,131,131,33
120,44,70,102,60,131,131,131,131,131,131,131,131,131,131,131,131,0
69,104,110,65,77,131,131,131,131,131,131,131,131,131,131,131,131,5
2,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
75,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
55,120,41,45,129,28,59,0,128,3,21,105,131,131,131,131,131,22
55,98,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
106,2,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
19,41,26,45,14,108,62,81,18,40,93,131,131,131,131,131,131,34
41,125,91,58,13,73,37,48,82,131,131,131,131,131,131,131,131,12
55,71,56,110,77,131,131,131,131,131,131,131,131,131,131,131,131,31
120,107,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
26,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
41,125,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
41,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
120,44,70,102,118,131,131,131,131,131,131,131,131,131,131,131,131,0
55,71,56,46,110,131,131,131,131,131,131,131,131,131,131,131,131,31
85,8,94,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
19,120,41,45,44,70,23,31,116,7,131,131,131,131,131,131,131,37
25,95,19,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
23,75,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
23,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
19,120,41,125,26,45,14,59,63,128,109,62,81,18,11,131,131,36
55,120,41,129,28,70,59,0,131,131,131,131,131,131,131,131,131,21
41,125,91,58,52,13,73,48,82,131,131,131,131,131,131,131,131,12
130,99,72,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
99,55,98,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,64,125,91,108,31,40,37,69,53,1,131,131,131,131,131,131,24
55,120,41,28,70,59,0,128,131,131,131,131,131,131,131,131,131,21
19,120,41,45,44,23,0,31,116,7,131,131,131,131,131,131,131,37
120,0,111,33,47,42,131,131,131,131,131,131,131,131,131,131,131,3
130,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131,28
41,124,20,64,58,34,84,36,15,113,30,53,1,131,131,131,131,26
130,41,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
130,99,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
122,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131,7
25,41,26,45,44,109,62,81,115,90,97,92,22,18,61,67,131,10
130,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
41,124,20,64,58,34,36,15,113,30,53,1,131,131,131,131,131,26
120,44,123,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
120,44,70,60,118,131,131,131,131,131,131,131,131,131,131,131,131,0
23,75,76,12,131,131,131,131,131,131,131,131,131,131,131,131,131,13
130,120,129,70,59,128,131,131,131,131,131,131,131,131,131,131,131,9
19,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131,29
19,41,26,45,14,62,81,18,40,93,131,131,131,131,131,131,131,34
64,125,91,108,31,40,37,69,53,1,131,131,131,131,131,131,131,24
55,120,41,45,129,70,59,0,128,3,21,105,131,131,131,131,131,22
41,125,91,58,52,73,37,48,82,131,131,131,131,131,131,131,131,12
19,26,45,14,108,62,81,18,40,93,131,131,131,131,131,131,131,34
130,120,129,70,59,0,131,131,131,131,131,131,131,131,131,131,131,9
55,129,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131,40
130,120,41,125,129,28,0,131,131,131,131,131,131,131,131,131,131,28
55,120,129,28,70,0,31,63,128,67,131,131,131,131,131,131,131,40
106,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
2,49,44,37,104,30,53,119,131,131,131,131,131,131,131,131,131,30
99,19,55,120,41,45,44,70,59,74,6,62,67,131,131,131,131,11
120,14,108,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
9,43,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
55,120,41,129,70,59,0,128,131,131,131,131,131,131,131,131,131,21
19,120,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131,29
18,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131,23
99,19,55,120,41,45,44,70,59,74,6,62,89,131,131,131,131,11
130,41,58,129,28,59,127,128,62,86,87,131,131,131,131,131,131,19
55,71,56,46,77,131,131,131,131,131,131,131,131,131,131,131,131,31
19,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,131,11
120,107,29,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
106,2,117,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
120,129,0,111,33,47,42,131,131,131,131,131,131,131,131,131,131,3
99,72,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
125,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
99,85,8,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
129,0,111,33,47,42,131,131,131,131,131,131,131,131,131,131,131,3
19,120,45,108,70,31,67,131,131,131,131,131,131,131,131,131,131,29
99,19,55,120,41,44,70,59,74,6,62,67,89,131,131,131,131,11
120,129,0,111,33,42,131,131,131,131,131,131,131,131,131,131,131,3
130,99,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131,8
6,122,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131,7
25,19,41,26,45,109,62,81,115,90,97,92,22,18,61,67,131,10
120,129,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131,40
41,27,16,73,114,112,83,131,131,131,131,131,131,131,131,131,131,39
99,85,94,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
44,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131,23
120,44,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
130,120,129,70,59,0,128,131,131,131,131,131,131,131,131,131,131,9
99,45,10,88,131,131,131,131,131,131,131,131,131,131,131,131,131,27
69,104,65,77,131,131,131,131,131,131,131,131,131,131,131,131,131,5
2,49,44,13,37,30,53,119,131,131,131,131,131,131,131,131,131,30
55,120,129,28,70,59,0,63,128,67,131,131,131,131,131,131,131,40
120,5,108,44,70,13,37,35,100,53,78,131,131,131,131,131,131,25
6,122,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131,7
120,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131,33
55,120,41,129,28,59,0,128,131,131,131,131,131,131,131,131,131,21
99,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
41,64,125,91,108,31,40,69,53,1,131,131,131,131,131,131,131,24
2,49,44,13,37,104,30,53,131,131,131,131,131,131,131,131,131,30
55,41,45,129,28,70,59,0,128,3,21,105,131,131,131,131,131,22
55,120,45,129,28,70,59,0,128,3,21,105,131,131,131,131,131,22
99,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
41,26,45,14,39,131,131,131,131,131,131,131,131,131,131,131,131,6
41,129,59,128,39,131,131,131,131,131,131,131,131,131,131,131,131,20
120,41,5,44,70,13,37,35,100,53,78,131,131,131,131,131,131,25
55,120,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131,40
2,49,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,30
25,19,41,45,44,109,62,81,115,90,97,92,22,18,61,67,131,10
17,9,43,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
69,104,110,65,131,131,131,131,131,131,131,131,131,131,131,131,131,5
120,129,0,111,47,42,131,131,131,131,131,131,131,131,131,131,131,3
2,49,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131,30
99,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,131,11
19,120,41,125,26,45,14,108,59,63,128,109,62,81,18,11,131,36
41,124,20,64,58,84,36,15,113,30,53,1,131,131,131,131,131,26
106,2,117,120,18,131,131,131,131,131,131,131,131,131,131,131,131,16
41,124,64,58,34,84,36,15,113,30,53,1,131,131,131,131,131,26
19,41,26,45,108,62,81,18,40,93,131,131,131,131,131,131,131,34
25,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
17,9,43,24,131,131,131,131,131,131,131,131,131,131,131,131,131,38
120,41,129,28,70,59,0,128,131,131,131,131,131,131,131,131,131,21
19,41,45,14,108,62,81,18,40,93,131,131,131,131,131,131,131,34
120,44,102,60,118,131,131,131,131,131,131,131,131,131,131,131,131,0
41,129,70,59,39,131,131,131,131,131,131,131,131,131,131,131,131,20
130,99,41,58,44,59,63,109,62,89,131,131,131,131,131,131,131,8
120,129,0,33,47,42,131,131,131,131,131,131,131,131,131,131,131,3
130,129,70,59,0,128,131,131,131,131,131,131,131,131,131,131,131,9
41,26,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
120,44,70,102,60,118,131,131,131,131,131,131,131,131,131,131,131,0
19,120,41,45,44,70,23,0,116,7,131,131,131,131,131,131,131,37
55,71,56,46,110,77,131,131,131,131,131,131,131,131,131,131,131,31
25,19,26,45,44,109,62,81,115,90,97,92,22,18,61,67,131,10
130,41,58,129,59,0,127,128,62,86,87,131,131,131,131,131,131,19
69,110,65,77,131,131,131,131,131,131,131,131,131,131,131,131,131,5
107,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
41,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
49,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131,33
19,120,45,108,44,31,67,131,131,131,131,131,131,131,131,131,131,29
104,110,65,77,131,131,131,131,131,131,131,131,131,131,131,131,131,5
68,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
130,120,129,59,0,128,131,131,131,131,131,131,131,131,131,131,131,9
130,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
6,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131,7
99,45,88,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
25,95,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
55,120,129,28,70,59,0,128,131,131,131,131,131,131,131,131,131,21
41,129,70,128,39,131,131,131,131,131,131,131,131,131,131,131,131,20
2,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131,30
44,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
55,71,46,110,77,131,131,131,131,131,131,131,131,131,131,131,131,31
120,41,5,108,44,70,13,37,100,53,78,131,131,131,131,131,131,25
44,18,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131,23
44,18,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,23
19,41,26,45,14,108,81,18,40,93,131,131,131,131,131,131,131,34
19,120,41,45,44,70,23,0,31,116,7,131,131,131,131,131,131,37
19,120,41,45,44,70,23,0,31,7,131,131,131,131,131,131,131,37
95,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
41,64,91,108,31,40,37,69,53,1,131,131,131,131,131,131,131,24
41,26,45,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
99,19,55,120,41,45,44,70,59,74,6,67,89,131,131,131,131,11
19,120,41,125,26,14,108,59,63,128,109,62,81,18,11,131,131,36
130,120,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,28
55,56,46,110,77,131,131,131,131,131,131,131,131,131,131,131,131,31
130,120,41,125,45,129,0,131,131,131,131,131,131,131,131,131,131,28
19,120,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
120,49,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,33
130,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
130,41,58,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
55,120,41,45,129,28,70,59,0,128,3,21,105,131,131,131,131,22
41,5,108,44,70,13,37,35,100,53,78,131,131,131,131,131,131,25
106,2,117,120,26,131,131,131,131,131,131,131,131,131,131,131,131,16
41,124,20,58,34,84,36,15,113,30,53,1,131,131,131,131,131,26
19,120,41,45,44,70,0,31,116,7,131,131,131,131,131,131,131,37
41,27,16,73,114,83,131,131,131,131,131,131,131,131,131,131,131,39
130,99,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
14,108,18,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
130,120,41,125,45,28,0,131,131,131,131,131,131,131,131,131,131,28
130,120,41,125,45,129,28,131,131,131,131,131,131,131,131,131,131,28
19,41,26,45,14,108,62,18,40,93,131,131,131,131,131,131,131,34
41,27,16,114,112,83,131,131,131,131,131,131,131,131,131,131,131,39
41,125,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,12
41,129,70,59,128,131,131,131,131,131,131,131,131,131,131,131,131,20
19,120,41,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
99,10,88,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
55,120,41,129,28,70,0,128,131,131,131,131,131,131,131,131,131,21
130,120,129,70,0,128,131,131,131,131,131,131,131,131,131,131,131,9
41,124,20,64,34,84,36,15,113,30,53,1,131,131,131,131,131,26
120,41,5,108,44,13,37,35,100,53,78,131,131,131,131,131,131,25
55,120,41,45,129,28,70,59,0,128,21,105,131,131,131,131,131,22
99,55,98,96,101,50,131,131,131,131,131,131,131,131,131,131,131,35
41,27,16,73,112,83,131,131,131,131,131,131,131,131,131,131,131,39
120,41,5,108,44,70,13,37,35,100,53,78,131,131,131,131,131,25
55,120,129,70,59,0,31,63,128,67,131,131,131,131,131,131,131,40
68,80,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,1
45,10,88,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
6,122,71,34,131,131,131,131,131,131,131,131,131,131,131,131,131,7
120,49,59,0,79,131,131,131,131,131,131,131,131,131,131,131,131,33
41,64,125,108,31,40,37,69,53,1,131,131,131,131,131,131,131,24
130,99,41,58,45,44,59,63,62,89,131,131,131,131,131,131,131,8
55,120,41,129,28,70,59,0,128,3,21,105,131,131,131,131,131,22
120,70,102,60,118,131,131,131,131,131,131,131,131,131,131,131,131,0
41,129,70,59,128,39,131,131,131,131,131,131,131,131,131,131,131,20
25,19,41,26,45,44,62,81,115,90,97,92,22,18,61,67,131,10
41,70,59,128,39,131,131,131,131,131,131,131,131,131,131,131,131,20
130,99,72,32,131,131,131,131,131,131,131,131,131,131,131,131,131,15
41,64,125,91,108,31,37,69,53,1,131,131,131,131,131,131,131,24
80,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
120,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
130,99,41,58,45,44,59,109,62,89,131,131,131,131,131,131,131,8
19,120,41,45,44,70,23,0,31,116,131,131,131,131,131,131,131,37
99,45,10,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
120,44,93,60,118,131,131,131,131,131,131,131,131,131,131,131,131,0
120,44,70,76,94,125,131,131,131,131,131,131,131,131,131,131,131,0
68,80,40,93,131,131,131,131,131,131,131,131,131,131,131,131,131,1
69,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
78,50,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
68,77,44,43,131,131,131,131,131,131,131,131,131,131,131,131,131,1
99,85,8,108,131,131,131,131,131,131,131,131,131,131,131,131,131,2
87,20,94,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
99,85,80,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
99,85,12,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
122,0,111,33,47,42,131,131,131,131,131,131,131,131,131,131,131,3
120,129,0,111,38,44,77,131,131,131,131,131,131,131,131,131,131,3
25,49,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
35,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
84,30,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
25,95,115,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
69,104,101,67,131,131,131,131,131,131,131,131,131,131,131,131,131,5
69,108,65,77,131,131,131,131,131,131,131,131,131,131,131,131,131,5
83,110,65,77,131,131,131,131,131,131,131,131,131,131,131,131,131,5
41,26,45,14,58,131,131,131,131,131,131,131,131,131,131,131,131,6
41,33,32,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
6,122,40,55,131,131,131,131,131,131,131,131,131,131,131,131,131,7
6,122,71,34,115,131,131,131,131,131,131,131,131,131,131,131,131,7
6,122,48,49,131,131,131,131,131,131,131,131,131,131,131,131,131,7
130,120,129,70,59,0,130,131,131,131,131,131,131,131,131,131,131,9
130,120,129,65,35,128,131,131,131,131,131,131,131,131,131,131,131,9
25,23,26,45,44,109,62,81,115,90,97,92,22,18,61,67,131,10
41,118,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
23,75,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
34,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
23,75,37,37,131,131,131,131,131,131,131,131,131,131,131,131,131,13
104,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
130,99,106,35,131,131,131,131,131,131,131,131,131,131,131,131,131,14
130,103,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
117,88,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
130,99,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
130,99,65,47,131,131,131,131,131,131,131,131,131,131,131,131,131,15
100,73,34,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
29,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
106,2,118,63,18,131,131,131,131,131,131,131,131,131,131,131,131,16
114,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
120,107,29,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
120,41,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
107,33,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
120,14,108,63,131,131,131,131,131,131,131,131,131,131,131,131,131,18
120,14,108,35,131,131,131,131,131,131,131,131,131,131,131,131,131,18
30,93,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
120,19,102,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
130,54,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
41,129,61,128,39,131,131,131,131,131,131,131,131,131,131,131,131,20
41,129,70,100,74,94,131,131,131,131,131,131,131,131,131,131,131,20
55,103,45,129,28,70,59,0,128,3,21,105,131,131,131,131,131,22
44,31,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131,23
38,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131,23
44,18,34,60,101,131,131,131,131,131,131,131,131,131,131,131,131,23
45,76,91,108,31,40,37,69,53,1,131,131,131,131,131,131,131,24
120,41,5,94,70,13,37,35,100,53,78,131,131,131,131,131,131,25
41,124,20,64,40,84,36,15,113,30,53,1,131,131,131,131,131,26
41,124,46,58,34,84,36,15,113,30,53,1,131,131,131,131,131,26
99,16,88,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
99,17,88,126,131,131,131,131,131,131,131,131,131,131,131,131,131,27
99,45,10,103,131,131,131,131,131,131,131,131,131,131,131,131,131,27
130,120,41,125,62,28,0,131,131,131,131,131,131,131,131,131,131,28
19,99,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131,29
19,120,45,108,54,54,45,92,131,131,131,131,131,131,131,131,131,29
55,71,56,46,101,131,131,131,131,131,131,131,131,131,131,131,131,31
55,71,51,71,77,131,131,131,131,131,131,131,131,131,131,131,131,31
120,91,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
120,44,104,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
55,110,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
115,48,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
120,51,43,79,51,131,131,131,131,131,131,131,131,131,131,131,131,33
120,49,59,47,62,98,131,131,131,131,131,131,131,131,131,131,131,33
19,37,45,14,108,62,81,18,40,93,131,131,131,131,131,131,131,34
99,66,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
99,80,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
19,120,41,125,26,20,88,59,63,128,109,62,81,18,11,131,131,36
19,120,41,45,44,70,23,24,116,7,131,131,131,131,131,131,131,37
17,9,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
10,37,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
17,9,40,40,131,131,131,131,131,131,131,131,131,131,131,131,131,38
16,10,41,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
41,27,16,73,114,112,118,131,131,131,131,131,131,131,131,131,131,39
41,27,16,89,113,100,131,131,131,131,131,131,131,131,131,131,131,39
55,120,129,28,61,0,31,63,128,67,131,131,131,131,131,131,131,40
